Results ID: 3
Created On: 2019-08-16 22:52:11.341000
For Project: Sepsis + EC BAD Treatment Demo for GE presentation
Summary Statistics:
Stratification - None: 
           |          |           |            |      Age |     Male |  Lactate |  NoSIRS | NoSIRS_Entered |    SIRS | SIRS_Entered | NoSpesis |  Sepsis | NoSpesis_Entered | SevereSepsis | SevereSepsis_Entered | SepticShock | SepticShock_Entered | Death_Entered | 
Start Step | End Step | Rec Count | Dem. Count | Avg Dem. | Avg Dem. |  Avg All | Sum All |        Sum All | Sum All |      Sum All |  Sum All | Sum All |          Sum All |      Sum All |              Sum All |     Sum All |             Sum All |       Sum All | 
         0 |        0 |       100 |        100 | 66.78275 |  0.45000 |  4.70175 |      12 |              0 |      88 |            0 |       21 |      38 |                0 |           14 |                    0 |          27 |                   0 |             0 | 
         1 |        1 |       100 |        100 | 66.78275 |  0.45000 |  4.64562 |      27 |             19 |      73 |            4 |        9 |      54 |                9 |           14 |                    6 |          14 |                   1 |             9 | 
         2 |        2 |        91 |         91 | 66.58948 |  0.45055 |  4.54989 |      25 |              7 |      66 |            8 |       12 |      53 |               12 |            9 |                    2 |          12 |                   4 |             5 | 
         3 |        3 |        86 |         86 | 67.04295 |  0.43023 |  4.59799 |      32 |             13 |      54 |            6 |        8 |      56 |                8 |           10 |                    5 |           6 |                   1 |             6 | 
         4 |        4 |        80 |         80 | 66.55195 |  0.43750 |  4.75338 |      30 |              5 |      50 |            5 |       19 |      43 |               19 |           11 |                    8 |           6 |                   3 |             1 | 
         5 |        5 |        79 |         79 | 66.59608 |  0.44304 |  4.80280 |      28 |              8 |      51 |           10 |        7 |      55 |                7 |           11 |                    3 |           3 |                   0 |             3 | 
         6 |        6 |        76 |         76 | 66.45877 |  0.43421 |  4.98209 |      31 |             10 |      45 |            6 |       11 |      54 |               11 |            8 |                    2 |           2 |                   1 |             1 | 
         7 |        7 |        75 |         75 | 66.64383 |  0.44000 |  5.07438 |      31 |              5 |      44 |            5 |       11 |      52 |               11 |           10 |                    2 |           2 |                   0 |             0 | 
         8 |        8 |        75 |         75 | 66.64383 |  0.44000 |  4.98532 |      36 |             10 |      39 |            5 |       11 |      49 |               11 |           13 |                    5 |           2 |                   1 |             0 | 
         9 |        9 |        75 |         75 | 66.64383 |  0.44000 |  5.12543 |      30 |              4 |      45 |           10 |       10 |      51 |               10 |           11 |                    2 |           3 |                   1 |             0 | 
        10 |       10 |        75 |         75 | 66.64383 |  0.44000 |  5.16229 |      24 |              4 |      51 |           10 |        7 |      49 |                7 |           15 |                    7 |           3 |                   2 |             1 | 
        11 |       11 |        74 |         74 | 66.74233 |  0.43243 |  5.52452 |      29 |             11 |      45 |            5 |       14 |      40 |               14 |           17 |                    5 |           1 |                   1 |             2 | 
        12 |       12 |        72 |         72 | 66.17875 |  0.43056 |  5.54770 |      33 |              9 |      39 |            5 |        8 |      48 |                8 |           12 |                    3 |           3 |                   3 |             1 | 
        13 |       13 |        71 |         71 | 66.04584 |  0.42254 |  5.53431 |      32 |              7 |      39 |            8 |        9 |      45 |                9 |           13 |                    5 |           2 |                   2 |             2 | 
        14 |       14 |        69 |         69 | 66.33344 |  0.40580 |  5.32755 |      32 |              8 |      37 |            6 |       14 |      42 |               14 |           10 |                    3 |           2 |                   1 |             1 | 
        15 |       15 |        68 |         68 | 66.31658 |  0.39706 |  5.47088 |      31 |              4 |      37 |            5 |       11 |      44 |               11 |            9 |                    2 |           3 |                   2 |             1 | 
        16 |       16 |        67 |         67 | 66.23105 |  0.40299 |  5.51935 |      33 |              9 |      34 |            7 |        8 |      47 |                8 |            8 |                    3 |           3 |                   1 |             1 | 
        17 |       17 |        66 |         66 | 66.28998 |  0.40909 |  5.52241 |      37 |             11 |      29 |            6 |       10 |      43 |               10 |           10 |                    4 |           3 |                   0 |             0 | 
        18 |       18 |        66 |         66 | 66.28998 |  0.40909 |  5.86973 |      32 |              4 |      34 |            9 |        8 |      46 |                8 |            8 |                    2 |           2 |                   1 |             2 | 
        19 |       19 |        64 |         64 | 66.24516 |  0.40625 |  5.65949 |      30 |              7 |      34 |            8 |       11 |      42 |               11 |           10 |                    3 |           0 |                   0 |             1 | 
        20 |       20 |        63 |         63 | 65.84463 |  0.39683 |  5.64080 |      26 |              5 |      37 |            9 |        9 |      43 |                9 |           10 |                    3 |           1 |                   1 |             0 | 
        21 |       21 |        63 |         63 | 65.84463 |  0.39683 |  5.83622 |      29 |              8 |      34 |            5 |        9 |      38 |                9 |           14 |                    5 |           2 |                   1 |             0 | 
        22 |       22 |        63 |         63 | 65.84463 |  0.39683 |  6.06238 |      31 |              7 |      32 |            5 |       11 |      34 |               11 |           16 |                    3 |           1 |                   0 |             1 | 
        23 |       23 |        62 |         62 | 66.37061 |  0.38710 |  5.78356 |      28 |              3 |      34 |            6 |       12 |      35 |               12 |           12 |                    1 |           2 |                   2 |             1 | 
        24 |       24 |        61 |         61 | 66.21325 |  0.39344 |  5.88648 |      22 |              4 |      39 |           10 |        6 |      38 |                6 |           15 |                    5 |           0 |                   0 |             2 | 
        25 |       25 |        59 |         59 | 66.80356 |  0.37288 |  5.65527 |      24 |              8 |      35 |            6 |       10 |      34 |               10 |           12 |                    2 |           3 |                   3 |             0 | 
        26 |       26 |        59 |         59 | 66.80356 |  0.37288 |  5.75470 |      25 |              8 |      34 |            7 |        9 |      36 |                9 |           12 |                    3 |           1 |                   0 |             1 | 
        27 |       27 |        58 |         58 | 66.64210 |  0.36207 |  5.99388 |      23 |              5 |      35 |            6 |        6 |      40 |                6 |           10 |                    1 |           2 |                   1 |             0 | 
        28 |       28 |        58 |         58 | 66.64210 |  0.36207 |  6.18049 |      21 |              2 |      37 |            4 |        7 |      38 |                7 |           11 |                    2 |           1 |                   0 |             1 | 
        29 |       29 |        57 |         57 | 66.22530 |  0.35088 |  6.27154 |      20 |              5 |      37 |            6 |        5 |      38 |                5 |           11 |                    4 |           2 |                   2 |             1 | 
        30 |       30 |        56 |         56 | 66.43500 |  0.35714 |  6.12948 |      20 |              4 |      36 |            4 |       11 |      33 |               11 |            9 |                    3 |           2 |                   2 |             1 | 
        31 |       31 |        55 |         55 | 66.68691 |  0.36364 |  6.27400 |      21 |              6 |      34 |            5 |        7 |      35 |                7 |           10 |                    2 |           2 |                   1 |             1 | 
        32 |       32 |        54 |         54 | 67.08621 |  0.37037 |  6.21217 |      23 |              7 |      31 |            5 |        8 |      31 |                8 |           14 |                    6 |           0 |                   0 |             1 | 
        33 |       33 |        53 |         53 | 66.96128 |  0.37736 |  6.21901 |      19 |              4 |      34 |            7 |        9 |      31 |                9 |           11 |                    1 |           2 |                   2 |             0 | 
        34 |       34 |        53 |         53 | 66.96128 |  0.37736 |  6.38783 |      20 |              6 |      33 |            5 |        5 |      33 |                5 |           12 |                    2 |           1 |                   1 |             2 | 
        35 |       35 |        51 |         51 | 67.20883 |  0.37255 |  6.34579 |      20 |              5 |      31 |            4 |        8 |      30 |                8 |           12 |                    3 |           1 |                   1 |             0 | 
        36 |       36 |        51 |         51 | 67.20883 |  0.37255 |  6.30488 |      21 |              7 |      30 |            6 |        6 |      30 |                6 |           14 |                    4 |           1 |                   0 |             0 | 
        37 |       37 |        51 |         51 | 67.20883 |  0.37255 |  6.15178 |      21 |              5 |      30 |            5 |        7 |      29 |                7 |           13 |                    1 |           2 |                   1 |             0 | 
        38 |       38 |        51 |         51 | 67.20883 |  0.37255 |  6.24566 |      25 |              6 |      26 |            2 |        8 |      30 |                8 |            9 |                    0 |           3 |                   2 |             1 | 
