Results ID: 2
Created On: 2019-08-16 22:50:46.252000
For Project: Sepsis + EC Demo for GE presentation
Summary Statistics:
Stratification - None: 
           |          |           |            |      Age |     Male |  Lactate |  NoSIRS | NoSIRS_Entered |    SIRS | SIRS_Entered | NoSpesis |  Sepsis | NoSpesis_Entered | SevereSepsis | SevereSepsis_Entered | SepticShock | SepticShock_Entered | Death_Entered | 
Start Step | End Step | Rec Count | Dem. Count | Avg Dem. | Avg Dem. |  Avg All | Sum All |        Sum All | Sum All |      Sum All |  Sum All | Sum All |          Sum All |      Sum All |              Sum All |     Sum All |             Sum All |       Sum All | 
         0 |        0 |       100 |        100 | 66.78275 |  0.45000 |  4.70175 |      12 |              0 |      88 |            0 |       21 |      38 |                0 |           14 |                    0 |          27 |                   0 |             0 | 
         1 |        1 |       100 |        100 | 66.78275 |  0.45000 |  4.90354 |      29 |             18 |      71 |            1 |        9 |      50 |                9 |           17 |                    9 |          18 |                   2 |             6 | 
         2 |        2 |        94 |         94 | 66.48024 |  0.45745 |  3.77323 |      31 |             12 |      63 |            8 |       13 |      44 |               13 |           20 |                    8 |           9 |                   2 |             8 | 
         3 |        3 |        86 |         86 | 66.29195 |  0.45349 |  3.19419 |      42 |             17 |      44 |            5 |       13 |      50 |               13 |           18 |                    7 |           3 |                   1 |             2 | 
         4 |        4 |        84 |         84 | 66.38049 |  0.45238 |  2.54367 |      50 |             15 |      34 |            7 |       15 |      56 |               15 |            8 |                    6 |           3 |                   2 |             2 | 
         5 |        5 |        82 |         82 | 66.32019 |  0.46341 |  2.15170 |      53 |             13 |      29 |            9 |       22 |      52 |               22 |            5 |                    3 |           2 |                   1 |             1 | 
         6 |        6 |        81 |         81 | 66.58186 |  0.46914 |  1.80255 |      54 |              9 |      27 |            7 |       17 |      53 |               17 |           10 |                    7 |           0 |                   0 |             1 | 
         7 |        7 |        80 |         80 | 66.28414 |  0.46250 |  1.60842 |      46 |              8 |      34 |           15 |       19 |      49 |               19 |            8 |                    6 |           4 |                   4 |             0 | 
         8 |        8 |        80 |         80 | 66.28414 |  0.46250 |  1.39941 |      47 |             16 |      33 |           15 |       20 |      47 |               20 |           10 |                    6 |           1 |                   1 |             2 | 
         9 |        9 |        78 |         78 | 66.16489 |  0.46154 |  1.38334 |      44 |              8 |      34 |            9 |       23 |      48 |               23 |            5 |                    2 |           1 |                   1 |             1 | 
        10 |       10 |        77 |         77 | 66.37271 |  0.45455 |  1.39529 |      45 |             14 |      32 |           12 |       20 |      48 |               20 |            8 |                    5 |           1 |                   1 |             0 | 
        11 |       11 |        77 |         77 | 66.37271 |  0.45455 |  1.32355 |      56 |             18 |      21 |            7 |       26 |      45 |               26 |            5 |                    1 |           1 |                   1 |             0 | 
        12 |       12 |        77 |         77 | 66.37271 |  0.45455 |  1.29781 |      49 |              8 |      28 |           15 |       20 |      46 |               20 |            9 |                    7 |           1 |                   1 |             1 | 
        13 |       13 |        76 |         76 | 66.22323 |  0.46053 |  1.15493 |      54 |             15 |      22 |            9 |       20 |      47 |               20 |            8 |                    5 |           1 |                   0 |             0 | 
        14 |       14 |        76 |         76 | 66.22323 |  0.46053 |  1.13374 |      53 |             10 |      23 |           11 |       26 |      44 |               26 |            5 |                    3 |           1 |                   1 |             0 | 
        15 |       15 |        76 |         76 | 66.22323 |  0.46053 |  1.22891 |      48 |             13 |      28 |           18 |       23 |      46 |               23 |            6 |                    2 |           0 |                   0 |             1 | 
        16 |       16 |        75 |         75 | 65.96756 |  0.46667 |  1.00026 |      45 |              8 |      30 |           10 |       20 |      44 |               20 |           10 |                    7 |           1 |                   1 |             0 | 
        17 |       17 |        75 |         75 | 65.96756 |  0.46667 |  0.98844 |      56 |             15 |      19 |            4 |       18 |      51 |               18 |            5 |                    3 |           1 |                   1 |             0 | 
        18 |       18 |        75 |         75 | 65.96756 |  0.46667 |  0.94310 |      54 |              8 |      21 |           10 |       29 |      43 |               29 |            3 |                    2 |           0 |                   0 |             0 | 
        19 |       19 |        75 |         75 | 65.96756 |  0.46667 |  0.86534 |      55 |             11 |      20 |           10 |       24 |      48 |               24 |            1 |                    1 |           2 |                   2 |             0 | 
        20 |       20 |        75 |         75 | 65.96756 |  0.46667 |  0.95523 |      49 |              8 |      26 |           14 |       25 |      48 |               25 |            1 |                    1 |           1 |                   0 |             0 | 
        21 |       21 |        75 |         75 | 65.96756 |  0.46667 |  0.84342 |      54 |             16 |      21 |           11 |       25 |      43 |               25 |            6 |                    5 |           1 |                   0 |             0 | 
        22 |       22 |        75 |         75 | 65.96756 |  0.46667 |  0.78571 |      51 |             10 |      24 |           13 |       17 |      50 |               17 |            6 |                    3 |           1 |                   1 |             1 | 
        23 |       23 |        74 |         74 | 65.88541 |  0.47297 |  1.00350 |      53 |             12 |      21 |            9 |       22 |      48 |               22 |            2 |                    2 |           2 |                   2 |             0 | 
        24 |       24 |        74 |         74 | 65.88541 |  0.47297 |  0.92105 |      49 |              9 |      25 |           13 |       26 |      41 |               26 |            4 |                    3 |           2 |                   1 |             1 | 
        25 |       25 |        73 |         73 | 65.78080 |  0.47945 |  0.92487 |      54 |             16 |      19 |           10 |       19 |      47 |               19 |            6 |                    3 |           0 |                   0 |             1 | 
        26 |       26 |        72 |         72 | 65.60031 |  0.48611 |  0.81023 |      47 |              9 |      25 |           15 |       26 |      37 |               26 |            8 |                    8 |           1 |                   1 |             0 | 
        27 |       27 |        72 |         72 | 65.60031 |  0.48611 |  0.75263 |      49 |              8 |      23 |            6 |       18 |      48 |               18 |            6 |                    4 |           0 |                   0 |             0 | 
        28 |       28 |        72 |         72 | 65.60031 |  0.48611 |  0.73593 |      48 |             12 |      24 |           13 |       20 |      46 |               20 |            6 |                    5 |           0 |                   0 |             0 | 
        29 |       29 |        72 |         72 | 65.60031 |  0.48611 |  0.64906 |      53 |             16 |      19 |           11 |       23 |      42 |               23 |            7 |                    4 |           0 |                   0 |             0 | 
        30 |       30 |        72 |         72 | 65.60031 |  0.48611 |  0.85371 |      52 |              8 |      20 |            9 |       15 |      46 |               15 |           10 |                    8 |           1 |                   1 |             0 | 
        31 |       31 |        72 |         72 | 65.60031 |  0.48611 |  0.82704 |      47 |              8 |      25 |           13 |       16 |      43 |               16 |           11 |                    7 |           2 |                   2 |             0 | 
        32 |       32 |        72 |         72 | 65.60031 |  0.48611 |  0.95354 |      41 |             11 |      31 |           17 |       24 |      37 |               24 |            7 |                    3 |           3 |                   3 |             1 | 
        33 |       33 |        71 |         71 | 65.84399 |  0.49296 |  0.94577 |      51 |             15 |      20 |            4 |       19 |      46 |               19 |            4 |                    4 |           1 |                   1 |             1 | 
        34 |       34 |        70 |         70 | 65.46494 |  0.48571 |  0.83844 |      50 |              7 |      20 |            7 |       22 |      41 |               22 |            6 |                    3 |           0 |                   0 |             1 | 
        35 |       35 |        69 |         69 | 65.53493 |  0.47826 |  0.85228 |      49 |              8 |      20 |            8 |       21 |      43 |               21 |            4 |                    2 |           1 |                   1 |             0 | 
        36 |       36 |        69 |         69 | 65.53493 |  0.47826 |  0.84634 |      48 |              8 |      21 |            9 |       19 |      45 |               19 |            4 |                    3 |           0 |                   0 |             1 | 
        37 |       37 |        68 |         68 | 65.70090 |  0.48529 |  0.74985 |      47 |              9 |      21 |            9 |       22 |      44 |               22 |            2 |                    1 |           0 |                   0 |             0 | 
        38 |       38 |        68 |         68 | 65.70090 |  0.48529 |  0.82302 |      53 |             11 |      15 |            5 |       21 |      44 |               21 |            3 |                    3 |           0 |                   0 |             0 | 
