Results ID: 1
Created On: 2019-08-16 22:43:56.794000
For Project: Sepsis Demo for GE presentation
Summary Statistics:
Stratification - None: 
           |          |           |            |      Age |     Male |  Lactate |  NoSIRS | NoSIRS_Entered |    SIRS | SIRS_Entered | NoSpesis |  Sepsis | NoSpesis_Entered | SevereSepsis | SevereSepsis_Entered | SepticShock | SepticShock_Entered | Death_Entered | 
Start Step | End Step | Rec Count | Dem. Count | Avg Dem. | Avg Dem. |  Avg All | Sum All |        Sum All | Sum All |      Sum All |  Sum All | Sum All |          Sum All |      Sum All |              Sum All |     Sum All |             Sum All |       Sum All | 
         0 |        0 |       100 |        100 | 66.24510 |  0.44000 |  5.05206 |       6 |              0 |      94 |            0 |       32 |      27 |                0 |           13 |                    0 |          28 |                   0 |             0 | 
         1 |        1 |       100 |        100 | 66.24510 |  0.44000 |  5.19916 |      23 |             17 |      77 |            0 |        5 |      57 |                5 |           13 |                    4 |          12 |                   1 |            13 | 
         2 |        2 |        87 |         87 | 67.00215 |  0.47126 |  3.80850 |      31 |             13 |      56 |            3 |       22 |      43 |               22 |           11 |                    4 |           6 |                   1 |             5 | 
         3 |        3 |        82 |         82 | 66.59936 |  0.47561 |  3.16807 |      44 |             18 |      38 |            4 |       12 |      55 |               12 |           12 |                    7 |           1 |                   0 |             2 | 
         4 |        4 |        80 |         80 | 66.65865 |  0.47500 |  2.60337 |      44 |             11 |      36 |           10 |       23 |      47 |               23 |            9 |                    2 |           1 |                   0 |             0 | 
         5 |        5 |        80 |         80 | 66.65865 |  0.47500 |  2.22968 |      51 |             17 |      29 |           10 |       21 |      50 |               21 |            7 |                    2 |           1 |                   1 |             1 | 
         6 |        6 |        79 |         79 | 66.69345 |  0.48101 |  1.89807 |      45 |              7 |      34 |           13 |       20 |      52 |               20 |            7 |                    3 |           0 |                   0 |             0 | 
         7 |        7 |        79 |         79 | 66.69345 |  0.48101 |  1.68702 |      48 |             16 |      31 |           13 |       28 |      42 |               28 |            9 |                    4 |           0 |                   0 |             0 | 
         8 |        8 |        79 |         79 | 66.69345 |  0.48101 |  1.58953 |      50 |             11 |      29 |            9 |       14 |      54 |               14 |           10 |                    5 |           1 |                   1 |             0 | 
         9 |        9 |        79 |         79 | 66.69345 |  0.48101 |  1.40403 |      44 |             11 |      35 |           17 |       26 |      39 |               26 |           12 |                    5 |           2 |                   2 |             0 | 
        10 |       10 |        79 |         79 | 66.69345 |  0.48101 |  1.34371 |      51 |             16 |      28 |            9 |       17 |      51 |               17 |            8 |                    3 |           2 |                   1 |             1 | 
        11 |       11 |        78 |         78 | 66.40297 |  0.47436 |  1.21588 |      44 |              8 |      34 |           14 |       30 |      40 |               30 |            8 |                    3 |           0 |                   0 |             0 | 
        12 |       12 |        78 |         78 | 66.40297 |  0.47436 |  1.23601 |      48 |             12 |      30 |            8 |       19 |      53 |               19 |            6 |                    2 |           0 |                   0 |             0 | 
        13 |       13 |        78 |         78 | 66.40297 |  0.47436 |  0.96641 |      46 |             14 |      32 |           16 |       21 |      49 |               21 |            8 |                    6 |           0 |                   0 |             0 | 
        14 |       14 |        78 |         78 | 66.40297 |  0.47436 |  0.88647 |      50 |             17 |      28 |           13 |       21 |      51 |               21 |            4 |                    2 |           2 |                   2 |             0 | 
        15 |       15 |        78 |         78 | 66.40297 |  0.47436 |  0.92796 |      51 |             12 |      27 |           11 |       26 |      44 |               26 |            6 |                    4 |           0 |                   0 |             2 | 
        16 |       16 |        76 |         76 | 66.22748 |  0.47368 |  0.93013 |      46 |             12 |      30 |           15 |       17 |      52 |               17 |            5 |                    3 |           2 |                   2 |             0 | 
        17 |       17 |        76 |         76 | 66.22748 |  0.47368 |  0.83486 |      54 |             13 |      22 |            5 |       29 |      40 |               29 |            7 |                    3 |           0 |                   0 |             0 | 
        18 |       18 |        76 |         76 | 66.22748 |  0.47368 |  0.83240 |      51 |              8 |      25 |           11 |       23 |      45 |               23 |            8 |                    2 |           0 |                   0 |             0 | 
